id,name,type,root
591d441758df1eaba7eaa11f,Apurva Dalal,crunchbase,
58e1ffcbd1831ce0196b3461,Apurv Salarpuria,crunchbase,
KLBF23FWH5csiE3oD,Aprameya Radhakrishna,crunchbase,
vz8N3jXXj8bZhN3EM,AppWorks Ventures,crunchbase,
jzCYXZs4yPPi2N4jx,AppVenture,manualEntry,
pxGrttDSTZ35cc7u9,Appota,manualEntry,
591a9d71217125b5c78f2331,Applyifi,crunchbase,
e2bkzeTm3APxCGcFw,AppleTree Group,crunchbase,
pK8HrAWPemKqqnQ4S,Apple,manualEntry,
6tHx6pyGC4ip3WqnX,Apoorv Ranjan Sharma,crunchbase,
58d8dd2090b4259a1a4551b9,Apoletto Asia,manualEntry,
5971777cd45df93fb6aa512a,Aplus Fund,crunchbase,
QogCnHCq2FyKn7kKf,Apis Partners,manualEntry,
9HB4M5GmJj58z6q6W,APGM,crunchbase,
Bzirbo6R2JGDMEzrE,Apex Capital Partners,crunchbase,
uSwvyvcdJo8qrncqt,Aparna Pittie,crunchbase,
A4ExDvMe67E2sgCX5,北京智美红土体育文化产业投资基金,manualEntry,
58fea91e4096732b4c2acbfc,Anuraag Gupta,crunchbase,
5XHrZc7EQNpEww394,Anupam Mittal,crunchbase,
SHkDFePTcY7P6AGHp,Anuj Golecha,crunchbase,
595f28c4db0ed6b6d85b1fdc,Anuj Chowdhary,crunchbase,
h3vuKQih5HN7ZRvfw,Ants Capital (安赐资本),manualEntry,
38K7gBAW3bcewmMWY,ANTS (安持资本),manualEntry,Ants Capital (安赐资本)
594ccdc81640ba4a79321581,Antony Arun Davis,manualEntry,
SSfPchtuwBMp5wKxd,Anton Bourtsev,manualEntry,
JhBhWYuxCYvME3qhi,Antoine Blondeau,crunchbase,
58dcd6b4153fbd868021a301,Anthony Thomas,crunchbase,
m5q5g6LEAt6Ce4GxJ,Anthony Pascoe,crunchbase,
NifKvYeDYhTm8pXYo,Anthony Libonate,manualEntry,
N7ErDYPzruDyPkN3K,Anthony Klok,crunchbase,
58cf474427008999918f11ec,Anthony Di Iorio,crunchbase,
3GSjgYPokdrtqKBcB,Anthony Casalena,crunchbase,
wkxskLKYx8TAS9KDo,Anthill Ventures,manualEntry,
tqBHZEixDDmKsiCWT,Anthemis Group,crunchbase,
Wdca3c4CsfLQfryDt,Ant Group (蚂蚁金服),manualEntry,
cZXZt3kiJzpj9TjRj,ANT Financial,crunchbase,
596d8867d84b304fb0aa8e29,Anshuman Das,crunchbase,
rgd56YQnkwcFPttyD,Anshu Jain,crunchbase,
z2TLz9udmsBLC4Wo4,Anshe Chung,crunchbase,
5966e07177ebae6cb4e44d40,Anoop Hingorani,crunchbase,
58e321af6426b082ee82c223,Anoop Goyal,crunchbase,
tYyGmwncZMeSgPAj8,Annox Capital,crunchbase,
pYJLXTdbnfDxeo2GY,Annie Parker,crunchbase,
cAQpRcsJaB6jmBrFz,Anna Rooke,manualEntry,
X4xoqN8ibkA4LzcPR,Ann Zhou,crunchbase,
5914339e5487d4a064c24f47,Anlaiye,manualEntry,
