id,name,type
7bHWdJCLXmxM7JM2F,Legend Holdings,crunchbase
8XQXmFHc6Kaxsc4x4,Boquan Capital  (铂泉资本),manualEntry
8hQxDuGn4F7fpQMX9,Casdin Capital,crunchbase
9ar85azppYAE55ZiR,India Financial Inclusion Fund,manualEntry
9c425Q4SnEEqwJRoQ,Sistema Asia Fund,crunchbase
9cvhFuuLTFDGfm7dR,Fenqile (分期乐),manualEntry
9dPGpQ7zJxqrHYgpF,Star Angel Fund (风云天使基金),manualEntry
2GXehWYZRBB34vbn2,Emtek Group,crunchbase
2yHwr39vLe2EuWWsD,DN Capital,manualEntry
37fJFFtvNewqKv9EF,Mateusz (Mati) Szeszkowski,crunchbase
3GSjgYPokdrtqKBcB,Anthony Casalena,crunchbase
3fNrHo6yWQWE9WMPJ,Colony Capital (柯罗尼资本),manualEntry
3fy2vmwSP96jeSBiT,Whiz Partners,manualEntry
3wQNmRHaio2ScPoHx,Hajime Hotta,manualEntry
49sqakDcMSYve9nji,Beyond Fund (秉鸿资本),manualEntry
4FbDGB4bizexS5z97,William Klippgen,manualEntry
4SS2YxqFhG5C9GQeo,TA Ventures,crunchbase
4hZqKGpthpeHvrXvp,Xianghe Capital,manualEntry
4ppfJBwHzuqP4o72y,Yuan Capital (乾源资本),manualEntry
4uPaxj956jFRYrqhp,Cyberworld Studios,crunchbase
53MCux6YpFvY46tor,IFC (国际金融公司),manualEntry
59Yacvfq7rKhddAh7,Singtel,crunchbase
5igrtxketA5PB6hRj,Start Global Ventures,crunchbase
5pgTLzvHrQFQtEBXQ,Cowin Capital (同创伟业),manualEntry
5xFWXbXmjL2HKSmFq,Susquehanna International Group,crunchbase
6Y7Sqbkrd58nMEFf9,Qingkong Huake (清控华科),manualEntry
6ev3CNxbSchmomycc,Claude Tempe,manualEntry
6n8uuTMC6WuifpLeo,Solon Mack Capital,crunchbase
74N9GauCL3uYDRGfe,Vivian Lau,crunchbase
7gnqdXxhdnFz56pov,Simon Hackett,manualEntry
8QzEog2ie8rsgj7P5,Noam Gottesman,crunchbase
8obRnupGXaKcen2St,Kevin Colleran,crunchbase
979xjacE279qNghEA,Guardian Capital Partners PLC,crunchbase
9BrSaZrHdScjLYyYB,Prahlad Rao,manualEntry
9N3Q4wced9CvycKkQ,Mike Cannon-Brookes,crunchbase
24yLkL49EdC5rdKR5,The Hive,crunchbase
27LSw6fjWxwZg6PxH,Panlin Capital (磐霖资本),manualEntry
2WRKY7mthZedBN9bg,Fritz Lanman,crunchbase
2acPm2AMD6xMBuKaL,Tisiwi (天使湾),manualEntry
2dzFfYrQeAAqJnqWD,Gabriel Fong,manualEntry
2kJdGYZ8a2sWnqpaS,Convergent Ventures,crunchbase
2vrA9saEJoJoQJPK5,Romulus Capital,crunchbase
364qKFuijyuTLxxEa,Jakob Lykkegaard Pedersen,manualEntry
3ASfjKXo54wkAnhwu,Aarin Capital,crunchbase
3FYdkM7b8asLCNugB,Shanda Group (盛大集团),manualEntry
3QXrG9ANoQJkpd3iR,JamHub Corp,manualEntry
3fNGaiH4WAcvPcdPz,Aegon,manualEntry
4Nm6k9kospxEJYE2d,FengHou Capital (丰厚资本),manualEntry
5EZ9GpgpCpsBoLTQa,John Wu,crunchbase
5LtwytoXxp5xezoQo,Social Leverage,crunchbase
5SHQ5L5DtGG8cqckk,Rajesh Sawhney,crunchbase
6SND5sNQA6MBJba82,CSIRO,crunchbase
6dajcMaZoMzR8yCZx,Surya Ventures Pte Ltd,crunchbase
6xRux8r7D7RbZZWKY,BlackRock,crunchbase
7YueWa9fqjYJNWH8G,Kunzhong Capital,crunchbase
7kmPbh9FdBnEmcTxM,IG9,manualEntry
7o9LyT7hTJkCNBosG,Matt Berriman,manualEntry
